epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.1,1.6563384325027466,0.38351111111111114,1.5580627014160155,0.4972
2,0.0993844170297569,1.123457572195265,0.5971777777777778,1.1332329500198364,0.6074
3,0.09755282581475769,0.8862600701226129,0.6832,1.061129729270935,0.6562
4,0.0945503262094184,0.7515511395772299,0.7353555555555555,0.8606188277244567,0.7156
5,0.0904508497187474,0.6516605924182468,0.7713111111111111,0.7006653191566468,0.758
6,0.08535533905932739,0.5798380145231883,0.799,0.588692779636383,0.795
7,0.07938926261462367,0.5193156959957547,0.8186888888888889,0.6209448872566223,0.7942
8,0.07269952498697735,0.4744349962234497,0.8354444444444444,0.6355473685264588,0.7994
9,0.06545084971874739,0.43744181186887954,0.8482444444444445,0.5789291469573975,0.8068
10,0.05782172325201156,0.3998340187072754,0.8611555555555556,0.5022530460357666,0.831
11,0.05000000000000001,0.3693586817317539,0.8732888888888889,0.426667897605896,0.855
12,0.04217827674798848,0.3368395461559296,0.8843111111111112,0.4434136182785034,0.8536
13,0.03454915028125264,0.3066009515868293,0.8933777777777778,0.39409350905418394,0.8676
14,0.027300475013022667,0.2839353592660692,0.901,0.4005648377895355,0.8684
15,0.020610737385376353,0.25358566451072695,0.9121111111111111,0.37766713104248045,0.8738
16,0.014644660940672629,0.2297499604516559,0.9202666666666667,0.3608843023300171,0.8808
17,0.009549150281252633,0.2102868140803443,0.9270444444444444,0.3334276821136475,0.8898
18,0.005449673790581611,0.1925134676615397,0.9343555555555556,0.34181929898262026,0.8848
19,0.0024471741852423235,0.1781867222044203,0.9397333333333333,0.3285187293052673,0.8896
20,0.0006155829702431171,0.17330130795372856,0.9410888888888889,0.330019772195816,0.889
