epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.1,1.4221003705554538,0.48317777777777776,1.1418429655075073,0.5948
2,0.0993844170297569,0.9635410373899672,0.6578,1.0628970106124878,0.6548
3,0.09755282581475769,0.7844197894732158,0.7247777777777777,0.8436485222816468,0.7146
4,0.0945503262094184,0.6754745058695475,0.7651777777777777,0.7599432586669922,0.7442
5,0.0904508497187474,0.598064217874739,0.7920666666666667,0.5994261306762695,0.794
6,0.08535533905932739,0.5442489843792385,0.8134666666666667,0.5842366303443909,0.7966
7,0.07938926261462367,0.4933605378680759,0.8301777777777778,0.5483900242805481,0.8146
8,0.07269952498697735,0.4532807191848755,0.8433333333333334,0.501977054309845,0.8316
9,0.06545084971874739,0.4202042920536465,0.8547333333333333,0.5250533816337586,0.8196
10,0.05782172325201156,0.3876657682418823,0.8661555555555556,0.4158620271682739,0.8628
11,0.05000000000000001,0.356673249080446,0.8780444444444444,0.4806969205379486,0.8478
12,0.04217827674798848,0.329603522072898,0.8866666666666667,0.4268791934013367,0.8592
13,0.03454915028125264,0.30094399316575793,0.8946666666666667,0.37597512679100037,0.8778
14,0.027300475013022667,0.2793590820948283,0.9039777777777778,0.40481881952285764,0.8662
15,0.020610737385376353,0.25400818265014224,0.9112666666666667,0.3552987003803253,0.8824
16,0.014644660940672629,0.22878058893415662,0.9214888888888889,0.3546103129863739,0.8876
17,0.009549150281252633,0.21283830098576015,0.9265111111111111,0.3287020251750946,0.8904
18,0.005449673790581611,0.19396801545619966,0.9341111111111111,0.325955082321167,0.8944
19,0.0024471741852423235,0.17908864376015132,0.9403777777777778,0.31966789355278014,0.8964
20,0.0006155829702431171,0.17549985301759508,0.9401111111111111,0.3172401777267456,0.8956
