epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.1,1.4220982415941026,0.4832222222222222,1.1416247646331787,0.595
2,0.09990133642141358,0.9636431927363078,0.6576222222222222,1.06243899269104,0.6548
3,0.0996057350657239,0.7851732114579942,0.7244,0.8499017333030701,0.714
4,0.09911436253643444,0.6769640281041464,0.7644666666666666,0.7588241464614868,0.7438
5,0.09842915805643154,0.6017038123130798,0.7903333333333333,0.6115737674713134,0.7892
6,0.09755282581475767,0.5501682802094353,0.8115111111111111,0.6050585757255554,0.7888
7,0.09648882429441256,0.5026958175235324,0.8267333333333333,0.5732807663917542,0.8078
8,0.09524135262330098,0.46681928333706324,0.8384888888888888,0.5198942247390748,0.8254
9,0.09381533400219318,0.4372647648228539,0.8478222222222223,0.54188511095047,0.8188
10,0.09221639627510075,0.4132081113073561,0.8572666666666666,0.43775884404182436,0.8506
11,0.09045084971874737,0.3890624626583523,0.8655555555555555,0.5379048027992248,0.828
12,0.08852566213878946,0.3674233263068729,0.8721555555555556,0.4694272494316101,0.8394
13,0.08644843137107057,0.3491729025363922,0.8774666666666666,0.4206404040336609,0.8626
14,0.08422735529643442,0.33777461240026685,0.8838666666666667,0.4304275037765503,0.8564
15,0.08187119948743447,0.32099660517904494,0.8885333333333333,0.382771693277359,0.872
16,0.07938926261462366,0.30510543904304505,0.8941111111111111,0.37634683222770693,0.8724
17,0.07679133974894982,0.2955354651927948,0.8968888888888888,0.40466699228286745,0.8644
18,0.07408768370508576,0.2788125503593021,0.9028222222222222,0.4059787729740143,0.865
19,0.07128896457825362,0.26322254787021215,0.9067111111111111,0.3603975981712341,0.881
20,0.06840622763423389,0.2567027462932799,0.9094222222222222,0.38823298563957215,0.8766
21,0.06545084971874736,0.24493890975316365,0.9144888888888889,0.33747446660995484,0.8908
22,0.06243449435824272,0.23494676001866657,0.9189777777777778,0.3360689563751221,0.8898
23,0.05936906572928623,0.2211977600706948,0.9238888888888889,0.3556118733406067,0.8866
24,0.056266661678215216,0.21256015514797635,0.9263555555555556,0.3374693485736847,0.8912
25,0.053139525976465665,0.19837863744099934,0.9305111111111111,0.33210428743362425,0.8956
26,0.049999999999999996,0.19292057881090377,0.9323555555555556,0.3366450659275055,0.894
27,0.046860474023534326,0.1812205020268758,0.9368666666666666,0.31818155417442323,0.8992
28,0.04373333832178478,0.17050119432873195,0.9405555555555556,0.31830861053466797,0.9046
29,0.040630934270713764,0.1567294319788615,0.9452444444444444,0.3304156113624573,0.9034
30,0.03756550564175726,0.15085099742942387,0.947,0.3451523829936981,0.894
31,0.03454915028125265,0.1375412858777576,0.9531555555555555,0.30583252453804016,0.9074
32,0.03159377236576612,0.12751850867271422,0.9559111111111112,0.35262563004493713,0.8952
33,0.028711035421746366,0.11535630004141066,0.9600222222222222,0.30762932014465333,0.9118
34,0.025912316294914226,0.10937210590839386,0.9621777777777778,0.3195424602985382,0.9058
35,0.023208660251050155,0.10030816706418991,0.9650888888888889,0.30687393188476564,0.9108
36,0.020610737385376346,0.08764671331908967,0.9697111111111111,0.3061535427093506,0.912
37,0.01812880051256551,0.079958611376418,0.9730888888888889,0.2896488795757294,0.917
38,0.015772644703565562,0.07323184900217586,0.9760888888888889,0.29485502862930296,0.9184
39,0.013551568628929433,0.06259793970584869,0.9794888888888889,0.30311521062850955,0.9136
40,0.011474337861210542,0.05596729372739792,0.9818,0.2938300257205963,0.9216
41,0.009549150281252632,0.05106328881382942,0.9838222222222223,0.2966926685810089,0.922
42,0.007783603724899257,0.0454108981165621,0.9861777777777778,0.29804684700965883,0.9228
43,0.0061846659978068205,0.03943612742755148,0.9880888888888889,0.30223086762428286,0.9234
44,0.004758647376699033,0.03851520588729117,0.9883333333333333,0.2950839557170868,0.9236
45,0.0035111757055874327,0.03536154104438093,0.9897555555555556,0.3020160717487335,0.9216
46,0.0024471741852423235,0.031140379497408867,0.9914444444444445,0.29354839124679566,0.9244
47,0.0015708419435684518,0.02949962982568476,0.9924,0.29553988828659056,0.9248
48,0.000885637463565564,0.02858695131142934,0.9926888888888888,0.29316389141082766,0.9234
49,0.00039426493427611173,0.028894081091549662,0.9925111111111111,0.2969742722034454,0.9234
50,9.866357858642205e-05,0.028432385678423776,0.9923111111111111,0.294493347454071,0.9234
