epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.1,1.6311088604609172,0.395,1.7239582273483276,0.4576
2,0.09990133642141358,1.0837044163597955,0.6110666666666666,1.2386019870758056,0.5696
3,0.0996057350657239,0.8727019259770711,0.6878222222222222,0.996905337524414,0.6452
4,0.09911436253643444,0.7489946196873982,0.7361333333333333,1.2039026430130004,0.6436
5,0.09842915805643154,0.6553525918589698,0.7686666666666667,0.7149471140861511,0.7528
6,0.09755282581475767,0.5914614397684733,0.7938444444444445,0.6906759155273438,0.7666
7,0.09648882429441256,0.5343442828496298,0.8138444444444445,0.6263052883148194,0.789
8,0.09524135262330098,0.4967283346917894,0.8276222222222223,0.6655813878059387,0.7832
9,0.09381533400219318,0.46277225772539776,0.8408222222222222,0.57851588306427,0.8018
10,0.09221639627510075,0.431140669409434,0.8523555555555555,0.4801893492221832,0.8366
11,0.09045084971874737,0.4068928625318739,0.8598888888888889,0.6095273719787597,0.7898
12,0.08852566213878946,0.3797015401098463,0.8685555555555555,0.5036460181236267,0.8338
13,0.08644843137107057,0.3595060602876875,0.8740666666666667,0.49976350269317626,0.8318
14,0.08422735529643442,0.3466088265736898,0.8787555555555555,0.5491182005882264,0.8288
15,0.08187119948743447,0.32288437220255534,0.8871333333333333,0.4850639546394348,0.8386
16,0.07938926261462366,0.3101287624306149,0.8928,0.6578641777992249,0.7854
17,0.07679133974894982,0.2983673125214047,0.8950222222222223,0.4433932388305664,0.8486
18,0.07408768370508576,0.2807959100988176,0.9021111111111111,0.41639797973632814,0.865
19,0.07128896457825362,0.2676309068997701,0.9069111111111111,0.4514720419883728,0.8544
20,0.06840622763423389,0.2526377740807003,0.9097333333333333,0.4431478691101074,0.8478
21,0.06545084971874736,0.23942987508773803,0.9158666666666667,0.40123871002197264,0.872
22,0.06243449435824272,0.2320071547402276,0.92,0.3923480803966522,0.8742
23,0.05936906572928623,0.2132117342260149,0.9265777777777777,0.4788828516960144,0.8504
24,0.056266661678215216,0.2038965907467736,0.9288888888888889,0.3911027421951294,0.8708
25,0.053139525976465665,0.19429796058071985,0.9315333333333333,0.33426722292900085,0.889
26,0.049999999999999996,0.18176761922836304,0.9345777777777777,0.3495079578399658,0.8866
27,0.046860474023534326,0.1701173847516378,0.9399555555555555,0.37699342074394226,0.8838
28,0.04373333832178478,0.16008202028274537,0.9432666666666667,0.31455466408729554,0.8968
29,0.040630934270713764,0.14501066598362392,0.9483555555555555,0.3315975482940674,0.8998
30,0.03756550564175726,0.13485933646625942,0.9521777777777778,0.3699346752166748,0.895
31,0.03454915028125265,0.12223952501482434,0.9559555555555556,0.35810680952072144,0.8958
32,0.03159377236576612,0.11373216737111409,0.9606,0.362907723903656,0.895
33,0.028711035421746366,0.10207517629067103,0.9646444444444444,0.3795959056854248,0.8936
34,0.025912316294914226,0.09343150676025284,0.9670888888888889,0.32885263328552244,0.9068
35,0.023208660251050155,0.08640826164219115,0.9703111111111111,0.32345693650245666,0.9056
36,0.020610737385376346,0.07331708251436551,0.9752,0.3565557899951935,0.9012
37,0.01812880051256551,0.06621469835042954,0.978,0.3096675304889679,0.9078
38,0.015772644703565562,0.057355267421404524,0.9811333333333333,0.3045733836174011,0.9152
39,0.013551568628929433,0.05219361316627926,0.9834666666666667,0.3223640822887421,0.9088
40,0.011474337861210542,0.041114735844400195,0.9869777777777777,0.31226750893592836,0.9124
41,0.009549150281252632,0.03909044786426756,0.9877555555555556,0.3097570332527161,0.9154
42,0.007783603724899257,0.034943814876344466,0.9902444444444445,0.317479798078537,0.9158
43,0.0061846659978068205,0.031512123228775134,0.9903111111111111,0.3200521954536438,0.9148
44,0.004758647376699033,0.028545693202813468,0.9919111111111111,0.3195691435337067,0.915
45,0.0035111757055874327,0.026127051376468605,0.9928444444444444,0.3196768945217133,0.9166
46,0.0024471741852423235,0.024086031555136046,0.9936222222222222,0.31910570454597476,0.9182
47,0.0015708419435684518,0.022754014580614036,0.9938,0.31877025136947634,0.9174
48,0.000885637463565564,0.022122077691223888,0.9945777777777778,0.3165344430446625,0.9162
49,0.00039426493427611173,0.02078308020565245,0.9946444444444444,0.3192331154346466,0.916
50,9.866357858642205e-05,0.022238142004940245,0.9938666666666667,0.31542513194084165,0.9172
