epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.1,1.5931247673882378,0.40795555555555557,1.3245889766693115,0.5146
2,0.09990133642141358,1.0876774999300638,0.6045111111111111,1.002584085083008,0.6342
3,0.0996057350657239,0.8729869437005785,0.6894666666666667,0.7956949355125428,0.7136
4,0.09911436253643444,0.7449850662549337,0.7364888888888889,0.7506899572372436,0.739
5,0.09842915805643154,0.6479857394006517,0.7719777777777778,0.6603475662231445,0.7706
6,0.09755282581475767,0.5796647152158949,0.7983111111111111,0.5903752532958985,0.7968
7,0.09648882429441256,0.5277494841257732,0.8160666666666667,0.5369638670921326,0.8146
8,0.09524135262330098,0.4884663913514879,0.83,0.5661703048706055,0.8034
9,0.09381533400219318,0.4589857750574748,0.8408444444444444,0.5030215014934539,0.8266
10,0.09221639627510075,0.4263217611842685,0.8517111111111111,0.4553609169960022,0.8426
11,0.09045084971874737,0.4041360116004944,0.8596666666666667,0.44918323187828063,0.845
12,0.08852566213878946,0.3782380455599891,0.8685111111111111,0.4865924801826477,0.8346
13,0.08644843137107057,0.3572481962468889,0.8752222222222222,0.41694925560951235,0.8588
14,0.08422735529643442,0.34805007297727797,0.8779555555555556,0.44963353996276856,0.8538
15,0.08187119948743447,0.3234972135543823,0.8869333333333334,0.4220175810337067,0.858
16,0.07938926261462366,0.312122038714091,0.8915777777777778,0.42519762840270997,0.857
17,0.07679133974894982,0.2960817800945706,0.8971555555555556,0.40101112861633303,0.8632
18,0.07408768370508576,0.27852581604586707,0.9026666666666666,0.382440456533432,0.8738
19,0.07128896457825362,0.2661637992646959,0.9056666666666666,0.38586255693435667,0.8648
20,0.06840622763423389,0.25226165856785243,0.9112888888888889,0.3470683987617493,0.886
21,0.06545084971874736,0.23997192859649658,0.9162666666666667,0.3675463713645935,0.8804
22,0.06243449435824272,0.23205514197349547,0.9195333333333333,0.3667469629764557,0.8782
23,0.05936906572928623,0.2131009405321545,0.9261777777777778,0.33034230127334596,0.8914
24,0.056266661678215216,0.2058431684705946,0.9271333333333334,0.32407950835227967,0.8988
25,0.053139525976465665,0.1928008187505934,0.9332222222222222,0.33711970763206484,0.8872
26,0.049999999999999996,0.18806173316372765,0.9346,0.30176357460021974,0.8962
27,0.046860474023534326,0.17387511785825094,0.9395555555555556,0.3423464243888855,0.8894
28,0.04373333832178478,0.16482658795250787,0.9424666666666667,0.30671401853561403,0.9006
29,0.040630934270713764,0.1537242418024275,0.9465777777777777,0.3144824188232422,0.901
30,0.03756550564175726,0.14293847710556454,0.9500444444444445,0.3131117660522461,0.901
31,0.03454915028125265,0.13152715673711565,0.9538444444444445,0.2932807940006256,0.909
32,0.03159377236576612,0.11817615599102445,0.9585555555555556,0.32652573981285093,0.9006
33,0.028711035421746366,0.10920532952149709,0.9625111111111111,0.30373416152000426,0.9074
34,0.025912316294914226,0.10080449299017588,0.9652222222222222,0.30832003746032716,0.9058
35,0.023208660251050155,0.09210720946788788,0.9683555555555555,0.2987673244476318,0.9066
36,0.020610737385376346,0.08247114916774961,0.9714444444444444,0.2889445021629333,0.915
37,0.01812880051256551,0.073327086408933,0.9748444444444444,0.28426643390655515,0.9158
38,0.015772644703565562,0.06641049544811249,0.9777555555555556,0.29749770545959475,0.9156
39,0.013551568628929433,0.058693661033444935,0.9807111111111111,0.302392954158783,0.9132
40,0.011474337861210542,0.0498636856118838,0.9838444444444444,0.2965226369857788,0.9178
41,0.009549150281252632,0.045183337245384855,0.9857555555555556,0.28783737578392027,0.9202
42,0.007783603724899257,0.03933223337199953,0.9879333333333333,0.29655771808624265,0.918
43,0.0061846659978068205,0.03755191969540384,0.9885777777777778,0.2968791440963745,0.918
44,0.004758647376699033,0.033298255443573,0.9906888888888888,0.29552012033462527,0.9184
45,0.0035111757055874327,0.0313264499200715,0.9901777777777778,0.295302446603775,0.921
46,0.0024471741852423235,0.027816321358084678,0.9923777777777778,0.29561329250335694,0.919
47,0.0015708419435684518,0.026401780739592182,0.9929111111111111,0.2922153877735138,0.9202
48,0.000885637463565564,0.0266935657405191,0.9928888888888889,0.29445013823509214,0.9204
49,0.00039426493427611173,0.025996904448668163,0.9930666666666667,0.29475855979919435,0.9216
50,9.866357858642205e-05,0.025142082892192736,0.9939555555555556,0.2924411348342896,0.9212
